"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5294","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [1] amount=0.009, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat May 23 16:35:52 UTC 2026","passed","Sat May 23 16:35:57 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","7888","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest()","","Sat May 23 16:36:02 UTC 2026","passed","Sat May 23 16:36:10 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyBetweenHisOwnAccountsTest"
"","2651","userCanGenerateAuthTokenTest()","","Sat May 23 16:35:52 UTC 2026","passed","Sat May 23 16:35:54 UTC 2026","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","4363","userCannotDepositMoneyToNotExistedAccountTest()","","Sat May 23 16:35:42 UTC 2026","passed","Sat May 23 16:35:46 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCannotDepositMoneyToNotExistedAccountTest"
"","9614","userCanDepositMoneyToHisOwnAccountTest()","","Sat May 23 16:35:52 UTC 2026","passed","Sat May 23 16:36:02 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositMoneyToHisOwnAccountTest"
"","11533","userCanDepositInvalidMoneyToHisOwnAccountTest(double, String) Deposit 5000.001 should return error: ❌ Please deposit less or equal to 5000$.","","Sat May 23 16:35:59 UTC 2026","passed","Sat May 23 16:36:10 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTest"
"","1680","adminCanCreateUserWithCorrectDataTest()","","Sat May 23 16:35:46 UTC 2026","passed","Sat May 23 16:35:48 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","392","adminCanGenerateAuthTokenTest()","","Sat May 23 16:35:51 UTC 2026","passed","Sat May 23 16:35:52 UTC 2026","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","9058","userCanCreateAccountTest()","","Sat May 23 16:35:55 UTC 2026","passed","Sat May 23 16:36:04 UTC 2026","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","5329","adminCanLoginWithCorrectDataTest()","","Sat May 23 16:36:05 UTC 2026","passed","Sat May 23 16:36:11 UTC 2026","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","9622","AuthUserCanTransferMoneyToNotHisAccountTest()","","Sat May 23 16:36:00 UTC 2026","passed","Sat May 23 16:36:10 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCanTransferMoneyToNotHisAccountTest"
"","10616","AuthUserCanUpdateProfileNameTest()","","Sat May 23 16:35:41 UTC 2026","passed","Sat May 23 16:35:52 UTC 2026","","iteration2.ui.UpdateProfileTest","iteration2.ui.UpdateProfileTest","AuthUserCanUpdateProfileNameTest"
"","8200","AuthUserCannotUpdateProfileWithInvalidNameTest(String, String) [1] name=Rope Block Tra, errorValue=Name must contain two words with letters only","","Sat May 23 16:35:58 UTC 2026","passed","Sat May 23 16:36:06 UTC 2026","","iteration2.ui.UpdateProfileTest","iteration2.ui.UpdateProfileTest","AuthUserCannotUpdateProfileWithInvalidNameTest"
"","711","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [3] username=abc$, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 16:35:50 UTC 2026","passed","Sat May 23 16:35:51 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","3471","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) Deposit -5000 should return error: Invalid account or amount","","Sat May 23 16:35:50 UTC 2026","passed","Sat May 23 16:35:53 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","15195","AuthUserCannotUpdateProfileWithSameNameTest()","","Sat May 23 16:35:50 UTC 2026","broken","Sat May 23 16:36:06 UTC 2026","","iteration2.ui.UpdateProfileTest","iteration2.ui.UpdateProfileTest","AuthUserCannotUpdateProfileWithSameNameTest"
"","9152","adminCanCreateUserTest()","","Sat May 23 16:36:06 UTC 2026","passed","Sat May 23 16:36:15 UTC 2026","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCanCreateUserTest"
"","627","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [4] username=abc%, password=Password33$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 16:35:51 UTC 2026","passed","Sat May 23 16:35:51 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","9604","userCannotDepositMoneyToNotHisAccountTest()","","Sat May 23 16:35:41 UTC 2026","passed","Sat May 23 16:35:51 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCannotDepositMoneyToNotHisAccountTest"
"","13559","AuthUserCannotTransferMoneyMoreThenExistTest()","","Sat May 23 16:35:44 UTC 2026","passed","Sat May 23 16:35:58 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","AuthUserCannotTransferMoneyMoreThenExistTest"
"","6882","AuthUserCannotTransferMoneyMoreThenExistTest()","","Sat May 23 16:35:53 UTC 2026","passed","Sat May 23 16:36:00 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","AuthUserCannotTransferMoneyMoreThenExistTest"
"","4832","userCanCreateAccountTest()","","Sat May 23 16:35:41 UTC 2026","passed","Sat May 23 16:35:46 UTC 2026","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","1697","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [1] username=   , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Sat May 23 16:35:48 UTC 2026","passed","Sat May 23 16:35:49 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
"","5","userCanDepositInvalidMoneyToHisOwnAccountTest(double, String)","","Sat May 23 16:35:45 UTC 2026","skipped","Sat May 23 16:35:45 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTest"
"","7951","userCanDepositInvalidMoneyToHisOwnAccountTest(double, String) Deposit -5000 should return error: ❌ Please enter a valid amount.","","Sat May 23 16:35:51 UTC 2026","passed","Sat May 23 16:35:59 UTC 2026","","iteration2.ui.DepositAccountTest","iteration2.ui.DepositAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTest"
"","9457","adminCannotCreateUserWithInvalidDataTest()","","Sat May 23 16:36:04 UTC 2026","passed","Sat May 23 16:36:13 UTC 2026","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","4833","AuthUserCanUpdateProfileNameTest()","","Sat May 23 16:35:53 UTC 2026","passed","Sat May 23 16:35:58 UTC 2026","","iteration2.api.UpdateProfileTest","iteration2.api.UpdateProfileTest","AuthUserCanUpdateProfileNameTest"
"","4608","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","Sat May 23 16:35:57 UTC 2026","passed","Sat May 23 16:36:02 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","6995","userCanLoginWithCorrectDataTest()","","Sat May 23 16:36:06 UTC 2026","passed","Sat May 23 16:36:13 UTC 2026","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","13301","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [1] amount=0.009, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat May 23 16:35:41 UTC 2026","passed","Sat May 23 16:35:54 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","5342","userCanDepositMoneyToHisOwnAccountTest()","","Sat May 23 16:35:44 UTC 2026","passed","Sat May 23 16:35:50 UTC 2026","","iteration2.api.DepositAccountTest","iteration2.api.DepositAccountTest","userCanDepositMoneyToHisOwnAccountTest"
"","0","userCanDepositInvalidMoneyToHisOwnAccountTestV1(double, String)","","Sat May 23 16:36:07 UTC 2026","skipped","Sat May 23 16:36:07 UTC 2026","","iteration2.ui.TransferAccountTest","iteration2.ui.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV1"
"","3874","userCanDepositInvalidMoneyToHisOwnAccountTestV2(double, String) [2] amount=-10000, errorValue=Invalid transfer: insufficient funds or invalid accounts","","Sat May 23 16:36:02 UTC 2026","passed","Sat May 23 16:36:06 UTC 2026","","iteration2.api.TransferAccountTest","iteration2.api.TransferAccountTest","userCanDepositInvalidMoneyToHisOwnAccountTestV2"
"","614","adminCanCreateUserWithInvalidDataTest(String, String, UserRole, String, List) [2] username=ab, password=Password33$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Sat May 23 16:35:49 UTC 2026","passed","Sat May 23 16:35:50 UTC 2026","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithInvalidDataTest"
